category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet bringebær","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet jordbær","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Banan Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Cappuccino","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Cookie Dough","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Daim Is","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Grønn Te","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Kokos","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Laktosefri Vaniljeis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Mandelkrokan","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Mint","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Monster","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","NonStop","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Nøtteblanding","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","OREO","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Peanøtt Karamell","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Pistasj","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Salt Karamell","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sitron","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet Appelsin","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet Friskis","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet Mango","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbet Sitron","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Standard Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Standard Pistasj","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Standard Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Standard Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Sorbetto Italiano Lampone","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Limonchello","ik","-","-"
